binary_value,float_value_1,float_value_2,float_value_3,float_value_4
1,85.7791,21.9793,0.384811,1069.919
0,7.9747,23.4550,0.898716,1949.651
0,70.0890,14.0680,0.761985,1830.984
1,84.9116,-1.7799,0.351457,1841.574
1,75.1455,-6.3600,0.393278,695.839
1,67.1326,28.4734,0.038509,1935.686
1,67.5494,22.2900,0.231189,854.476
1,94.9132,16.1227,0.643454,872.417
1,29.2416,19.3428,0.709778,1241.425
1,74.4602,16.8365,0.993712,1074.181
0,11.1893,1.4677,0.830858,570.148
1,46.3791,-1.6174,0.254251,1337.863
1,10.5190,21.1444,0.941592,1792.730
0,82.9390,0.1967,0.525668,1512.729
0,8.0404,19.6128,0.103178,960.720
1,92.9075,11.0533,0.898995,1886.977
0,89.0719,28.8507,0.655722,1185.866
0,15.1032,-27.5615,0.184424,1182.780
0,47.6089,0.8676,0.084879,1742.027
1,44.0010,22.8473,0.847958,1045.437
0,24.1324,-14.7036,0.318559,1369.142
0,28.5013,-4.7230,0.523712,813.066
1,77.9569,4.4429,0.329600,1222.709
0,12.4345,-18.1989,0.484348,1803.648
1,78.8749,-10.8687,0.070481,1890.161
1,56.5944,14.5201,0.275161,1737.650
0,4.8287,20.1759,0.535370,1322.199
0,63.5779,9.7372,0.076295,556.651
0,72.9749,1.0158,0.975713,1404.697
1,90.2040,-18.9084,0.603073,947.714
1,24.3325,-6.2136,0.978859,1075.998
1,92.2469,-18.9325,0.391785,878.236
0,54.3011,-21.2326,0.698611,1715.997
1,94.3304,-27.6793,0.781468,1469.541
1,46.2058,-22.7766,0.446581,742.085
0,27.1820,-9.4115,0.467350,1936.946
1,38.1083,-21.6643,0.976685,1201.098
0,65.1847,21.4443,0.151372,1940.546
1,45.1320,-13.7699,0.824137,776.353
1,58.3626,19.0991,0.165048,1699.043
1,86.3362,-5.7964,0.956712,1107.069
0,12.2935,26.9916,0.817469,701.181
1,57.9328,13.0266,0.433821,1740.390
1,40.4082,-19.8337,0.231213,1483.916
0,8.5899,23.2384,0.821103,1600.077
0,19.1557,-12.2248,0.262346,1995.039
1,45.3502,-19.3144,0.667988,1898.687
1,97.7691,-19.0670,0.571972,1357.634
1,70.1987,-27.6038,0.017251,1466.623
1,73.4211,20.2008,0.997211,1567.679
0,41.4189,5.2263,0.509104,1471.159
1,97.6056,4.9374,0.223328,1943.405
0,82.6682,11.2508,0.820776,1201.805
1,40.1235,-27.0527,0.501363,897.588
0,22.1866,5.8479,0.659457,1436.237
0,4.5962,22.2034,0.176688,1099.605
1,35.4877,-12.0575,0.550560,854.116
0,86.6397,10.1393,0.020549,1989.277
1,39.5401,27.5333,0.609702,1801.504
0,1.4474,-16.8504,0.549381,1672.953
1,68.5090,-9.8810,0.732152,825.541
0,81.6723,25.6589,0.884946,796.256
1,10.6000,-5.6639,0.823591,881.057
0,52.7640,-21.7828,0.584699,823.711
1,73.2246,-28.2856,0.508512,1518.870
0,26.2977,29.2658,0.791787,1128.581
1,82.6802,-10.7595,0.394720,1200.984
0,1.9560,4.0134,0.333532,1545.992
1,93.8748,17.0425,0.823045,648.810
1,98.9800,-21.8822,0.355664,1277.690
1,87.7519,8.0677,0.333573,1678.878
1,65.6517,19.6083,0.052905,676.505
1,82.8959,-21.8483,0.465893,1643.063
1,78.5324,-29.3471,0.356269,846.343
1,96.0750,18.2053,0.887372,1670.701
1,94.8204,-17.6683,0.409306,799.150
0,12.7680,7.9260,0.273327,1612.385
0,19.2341,29.2261,0.608801,900.733
0,19.2756,0.8391,0.215862,1132.333
1,80.2887,-10.9110,0.061003,548.546
1,97.8918,16.7417,0.124769,783.217
0,7.4098,14.8254,0.553106,1592.926
1,45.0989,-4.9501,0.853472,512.170
0,19.6860,21.7521,0.724303,806.150
1,79.8223,-5.8751,0.089114,1796.404
1,44.6765,5.2536,0.465816,761.131
1,63.0054,-21.3285,0.376942,1257.418
0,34.8652,0.4398,0.084516,537.313
0,44.5252,-3.9602,0.880184,522.786
1,77.5258,9.6308,0.207749,910.195
1,94.0352,5.6308,0.856903,736.794
1,57.6838,11.3949,0.260500,577.877
1,48.6538,-13.1236,0.379019,1211.303
0,30.6463,-27.5666,0.348527,1816.212
1,68.9529,16.6811,0.699427,1580.383
0,36.4227,1.3138,0.073923,1922.948
1,78.6251,-7.2113,0.192353,1646.849
0,3.6207,-12.7426,0.219079,1413.019
0,65.8737,-15.1902,0.032598,1632.389
0,16.3978,-26.7014,0.405982,1089.921
1,73.4701,-11.2808,0.330274,1211.034
0,16.2334,23.6652,0.136647,1592.920
0,5.4941,6.9595,0.311867,1535.423
0,10.6727,-24.6647,0.614452,740.210
1,1.8841,19.2887,0.739847,985.511
1,44.2699,14.7252,0.944501,1584.423
1,30.9250,-23.0451,0.680642,1009.188
1,47.4265,-27.0278,0.718330,566.862
1,14.1787,-20.9415,0.490465,614.960
0,4.2744,26.0978,0.342316,906.842
0,7.5057,-3.5685,0.245842,1711.365
1,91.3224,4.3284,0.006600,999.978
1,41.6913,26.9951,0.413699,1195.014
1,93.9025,26.1210,0.972409,595.021
0,5.7190,-7.7645,0.569878,512.617
1,86.7866,-10.1393,0.663207,1737.220
1,50.7735,-5.8137,0.673273,1748.554
1,86.8725,22.2044,0.873066,1623.688
1,90.2125,-27.4238,0.385011,1650.923
0,19.1867,14.2366,0.027123,1780.776
0,10.7394,27.7533,0.278968,892.691
0,70.4466,22.2388,0.237430,1045.489
0,58.2211,24.5359,0.181786,853.039
0,1.3809,-13.4012,0.581329,909.693
1,6.8951,-26.2629,0.223283,1024.455
0,1.4253,29.1348,0.802595,910.395
0,13.0589,-11.7667,0.809357,897.468
1,54.5181,-22.5518,0.411479,1998.470
1,99.8077,7.9586,0.509407,539.988
0,99.3193,21.6691,0.149652,1996.588
1,91.5221,-20.6432,0.753994,1249.679
0,4.5110,14.3563,0.929332,731.729
1,71.8886,-25.9169,0.963834,667.414
1,27.8322,-24.0255,0.916808,867.190
1,88.9673,21.9100,0.582350,1681.072
1,43.6308,3.1727,0.196625,827.206
0,15.3102,20.1557,0.804870,1328.886
0,97.4642,2.9937,0.309571,1661.142
1,80.5910,-18.3118,0.256993,769.764
0,93.0025,10.1286,0.397797,1152.170
0,89.3618,26.6606,0.904858,1660.023
1,5.0055,4.4159,0.966613,715.697
1,49.2232,2.5588,0.711195,560.557
1,88.2957,-14.2091,0.411243,1662.171
1,72.8428,17.4003,0.142713,949.005
1,69.4869,6.4904,0.402507,530.779
1,76.7498,-20.6952,0.761845,1047.440
0,20.8759,25.8642,0.031521,1581.887
0,40.1044,4.9969,0.165772,1579.278
0,26.3263,-0.9835,0.216622,1270.712
1,66.6844,-14.5460,0.623017,1726.316
1,10.3613,18.0978,0.605522,1032.324
1,44.1881,-19.7346,0.946094,1576.754
0,33.7151,16.8481,0.346235,1729.812
1,95.1886,-16.1004,0.689986,1232.010
1,14.5146,7.4539,0.423195,1769.168
0,21.1260,-6.5069,0.888699,704.921
1,50.9932,1.9238,0.944301,860.315
0,40.7129,-10.4671,0.676639,1377.191
1,22.9954,8.2312,0.447936,1148.661
0,48.2461,-21.7576,0.396747,584.797
0,43.5183,4.0548,0.135010,1402.028
0,47.9381,-7.2939,0.759410,799.519
0,5.0329,-13.0565,0.809480,1938.076
1,80.5087,20.1901,0.106025,1554.487
0,62.6337,3.3013,0.105192,1464.670
1,50.7959,-19.4222,0.990754,1595.057
0,7.3886,29.6883,0.832168,806.892
1,94.2352,-6.1767,0.342948,890.911
0,2.8694,3.9684,0.476959,1489.385
1,94.7562,19.6625,0.489219,1482.943
1,64.5960,-28.1190,0.693756,509.576
1,88.0161,-2.2567,0.491896,1422.671
0,30.3085,-6.7391,0.029372,1290.407
0,5.5524,-2.9865,0.604885,1452.173
1,40.8033,-0.3868,0.845418,598.234
1,6.0198,-25.3162,0.445601,1772.824
1,68.0251,11.2246,0.335458,1128.577
0,4.2537,-11.9371,0.825783,1848.368
1,47.9963,24.3095,0.727834,1683.444
1,64.1013,2.2060,0.950021,1712.409
0,49.7337,-16.6307,0.854437,1730.752
1,15.2407,-18.8441,0.628266,1977.396
1,80.2098,-28.9928,0.643347,1364.657
1,61.6008,-26.8666,0.610321,1250.235
1,75.4475,7.4665,0.705973,786.512
0,50.2874,15.9431,0.056455,1596.609
1,52.3430,-22.3175,0.637329,664.263
0,45.7429,19.9584,0.514957,1274.145
1,85.6605,10.3670,0.840853,1480.141
0,46.3175,-14.2913,0.151397,1996.355
0,58.8790,25.5868,0.449865,1999.237
1,87.2897,1.0110,0.663429,1198.506
1,38.6688,-22.2314,0.897193,1406.734
1,67.4057,-7.2325,0.533838,552.648
0,78.3368,2.2360,0.094224,1438.673
0,8.1693,17.0153,0.052545,1323.998
0,24.1063,6.8593,0.058885,518.997
1,59.6984,10.6906,0.637838,687.415
1,94.0579,-19.8473,0.049287,674.025
0,72.7128,16.5353,0.236364,1897.060
0,8.3717,13.6784,0.116298,1495.408
0,5.1524,19.9333,0.824083,570.972
1,8.9309,-2.1417,0.114097,1361.022
1,77.2366,-25.7645,0.884529,1719.257
1,99.5879,14.4972,0.408895,1049.984
1,61.4156,-0.7212,0.978208,707.144
0,30.6103,2.8335,0.121172,1372.568
0,51.3091,-0.1185,0.395279,616.436
1,76.4761,21.2457,0.590523,833.107
0,47.6275,-26.6931,0.475272,1935.500
0,65.6536,23.4636,0.423525,1709.454
1,34.2096,-10.8553,0.749642,905.331
0,56.3544,21.2409,0.685987,1733.400
0,54.2085,-9.4121,0.532385,1649.114
1,27.4342,10.5187,0.806905,609.066
0,14.1785,-20.9341,0.186824,1681.284
1,55.9041,-29.2375,0.021208,1134.164
1,41.5043,-22.5781,0.314870,1414.958
0,19.4013,14.9030,0.125059,1635.109
1,91.0747,-19.9136,0.768256,1437.953
0,13.3142,1.3638,0.709196,966.611
1,98.1224,-24.9506,0.350815,1168.989
0,19.0999,-22.0647,0.962119,1029.665
1,55.0837,19.9684,0.263211,880.632
1,41.8386,-28.3042,0.922413,950.350
0,52.5959,3.0152,0.050165,1844.191
1,97.3678,-7.0295,0.561522,1625.710
0,3.6311,-11.7893,0.710134,1972.697
1,33.0887,16.3731,0.868877,1670.025
0,6.1759,17.1758,0.771949,1992.343
0,7.7940,24.2938,0.514502,1165.364
0,10.4879,6.0191,0.408962,1788.742
0,43.0971,-27.9606,0.454687,1994.645
0,80.8157,4.2440,0.211645,1353.713
0,24.7325,-22.6396,0.281413,1499.700
1,64.5501,-20.4368,0.142396,538.085
1,73.9696,16.6983,0.055270,905.571
0,6.8782,22.1004,0.117946,697.715
1,43.5993,23.6730,0.850973,600.170
1,29.6896,-10.9082,0.872446,1885.609
1,49.1026,4.4771,0.202806,904.043
0,95.5267,7.4090,0.848035,1389.105
1,94.5493,-2.5247,0.383573,1203.510
0,65.2666,28.7233,0.184307,1437.212
1,93.9818,-2.8328,0.079835,1835.080
0,35.2776,-13.6980,0.214633,1265.224
0,32.7304,-12.7836,0.218656,1338.055
0,16.5077,4.5299,0.785908,1837.939
1,44.5299,-28.7818,0.525209,737.972
1,97.8071,0.6586,0.381966,1837.186
1,31.8175,-21.9666,0.247639,704.366
1,3.8239,-0.3130,0.312753,1969.733
1,68.3568,-5.4690,0.337886,558.191
1,65.8553,-15.6441,0.824869,1354.817
1,7.7168,-18.4312,0.292347,812.679
1,91.9514,25.6547,0.921187,734.686
1,84.1799,23.3840,0.323176,509.747
0,19.3414,-27.6419,0.082412,547.752
1,67.0294,-14.2353,0.806086,1799.470
1,3.6449,10.9451,0.486415,1269.186
1,73.8805,11.1664,0.812089,1821.818
0,12.5362,20.4926,0.039186,1691.070
0,11.0660,4.4158,0.156295,1502.530
1,79.3834,-24.8596,0.331389,1704.540
1,61.9251,-20.5888,0.793035,1563.482
1,81.4423,-6.7963,0.426034,1213.498
0,23.7096,-3.5302,0.408396,622.122
1,15.5692,-25.3413,0.441964,1370.021
0,35.1871,-29.9931,0.288365,1136.720
0,9.6698,-23.6130,0.137733,1523.701
1,95.0776,-8.9383,0.683388,590.521
0,58.1952,23.5843,0.103101,1311.891
1,73.8634,-5.0694,0.563521,1232.448
1,66.9497,-20.0880,0.074881,643.534
1,71.6190,8.6225,0.751375,1538.931
1,61.9135,22.1093,0.368555,1938.137
1,70.7973,-15.0603,0.743566,1305.068
0,88.6067,15.4665,0.348049,1438.434
0,26.2620,28.4726,0.900704,1951.930
1,93.6361,-3.8043,0.800066,581.333
1,93.1498,-28.1059,0.042043,1481.470
0,30.7067,5.9793,0.990767,1939.662
0,71.3463,1.4711,0.144343,947.010
0,48.9639,10.3166,0.026808,699.990
1,91.1721,19.0290,0.449258,657.467
1,74.1645,14.5803,0.783421,981.274
1,18.2540,-25.8947,0.314332,1817.038
1,67.6404,-17.5829,0.089253,970.923
0,28.6413,16.0205,0.388275,1683.449
0,73.8102,19.8121,0.602698,595.798
1,26.4418,-5.4128,0.666740,1355.047
0,11.4347,4.9386,0.937065,1833.169
0,56.4062,18.9740,0.669918,1693.345
1,64.5041,-17.3889,0.266317,1979.375
1,28.2688,4.9614,0.712860,628.132
1,14.4712,-4.2675,0.660292,1741.594
1,91.1444,-21.5816,0.719556,1158.075
1,77.2754,-5.8990,0.744301,1563.519
0,9.4094,-13.8068,0.200474,1749.246
1,47.0180,-24.1746,0.592711,702.275
0,52.7917,3.8330,0.616447,1754.273
1,68.1728,11.8156,0.581318,1058.381
0,68.5471,25.3211,0.109335,1792.021
0,42.3755,-24.1993,0.231202,1843.656
1,24.3358,-2.0469,0.557305,1683.261
0,1.2801,-7.0670,0.880029,1402.366
0,4.7622,20.1699,0.525442,793.283
1,34.7560,1.4316,0.883374,1758.909
0,7.5827,19.2219,0.372047,1527.069
1,17.2075,-20.3669,0.339126,894.735
1,37.3502,21.9533,0.696941,880.231
0,6.2033,-29.6052,0.827607,1553.888
0,29.9511,19.0139,0.979741,1466.985
1,84.9307,-6.2054,0.913813,1042.749
1,89.9895,-17.2018,0.391929,1516.558
0,42.2993,-24.3698,0.872592,915.354
1,85.2250,-27.4146,0.616873,1312.232
0,18.1734,-21.6466,0.271955,1710.008
0,34.0981,11.7752,0.180782,878.944
0,25.8930,20.4374,0.727391,1562.053
1,77.5499,-15.1957,0.977293,561.563
0,16.0199,-1.5624,0.019236,1171.929
1,96.8195,-21.9608,0.550704,1611.616
0,25.6420,-17.9985,0.438253,935.842
0,71.0083,-22.5227,0.107141,1886.526
0,20.3642,-28.0487,0.139300,1638.726
1,58.2370,-8.0132,0.164557,1421.408
1,60.5512,-26.0522,0.575831,1071.941
1,70.7775,-22.8007,0.824002,1761.224
0,20.6993,-21.2670,0.439704,1277.354
0,5.8905,-5.8578,0.436829,1869.638
0,65.0878,-21.6242,0.052943,739.862
0,12.7677,-9.9204,0.260085,1852.021
1,60.1748,28.1658,0.936432,1332.593
1,19.0623,7.4516,0.056959,644.997
0,59.0096,-11.9629,0.266326,1182.595
0,5.8092,5.5691,0.621064,645.524
0,18.0000,25.7771,0.251465,1492.586
1,46.5916,-29.2287,0.415923,1137.112
0,37.3116,21.5941,0.922655,1185.994
1,23.7564,-17.4530,0.884642,1084.033
1,43.4711,-9.2753,0.340164,1738.885
0,35.0259,22.3962,0.597880,1228.651
1,53.4859,12.8157,0.163069,1120.470
1,67.2131,13.0779,0.274708,529.888
0,17.7768,-17.5038,0.632217,545.667
1,73.0193,-7.3222,0.808996,1381.287
1,84.8975,12.4905,0.231708,1438.256
1,83.4588,5.3672,0.425542,948.908
1,59.2645,-5.1015,0.930156,1289.422
1,65.9520,11.8100,0.509008,880.765
1,51.9599,26.0646,0.864716,1589.586
0,22.6441,12.7917,0.309720,667.805
1,97.2295,-26.1435,0.010355,573.785
1,82.6683,-1.0868,0.537565,1040.986
1,8.2677,-12.4547,0.975436,1752.572
1,76.2793,-13.3131,0.105936,1248.626
0,3.3360,22.1373,0.555153,1088.175
0,91.4565,20.6076,0.505318,997.640
1,12.1394,-13.2160,0.313672,1500.521
1,52.8370,-5.7228,0.880966,1215.193
1,17.7633,-20.4439,0.148351,1827.418
0,22.7177,27.5384,0.029668,1484.108
1,94.8327,6.4355,0.810636,586.006
1,10.3340,0.5473,0.618238,698.319
1,98.3224,28.5942,0.205805,1301.165
1,80.2944,28.7250,0.308422,1433.699
0,35.8174,-6.1711,0.629141,1691.609
1,87.4092,13.2363,0.670208,919.079
0,95.5592,18.8275,0.849246,1701.214
1,51.4136,-1.8541,0.256335,602.173
0,1.9248,17.1829,0.748753,1012.813
0,20.1064,27.2078,0.614241,1456.161
1,24.8427,9.0331,0.407202,671.185
0,55.1178,28.6871,0.016230,770.657
1,38.2735,20.3349,0.338852,1163.617
0,16.9433,-22.3606,0.404996,1483.833
0,33.3846,13.3449,0.240307,1269.835
0,57.1792,8.9037,0.287265,609.427
1,92.0630,-23.6182,0.032767,1954.399
1,30.5040,-5.6047,0.735123,1442.049
0,53.6018,-2.8279,0.075897,1014.965
0,18.0334,-3.1483,0.306342,743.819
0,7.3741,2.9080,0.958352,1856.109
1,52.6012,-5.3853,0.893979,1387.134
1,90.2783,11.4511,0.943279,1256.904
0,27.6371,18.3689,0.369253,501.555
1,76.2844,-6.4679,0.776963,993.268
1,88.0978,8.7911,0.896997,1680.073
0,12.4263,-9.4768,0.124719,1281.395
0,37.2163,-21.1193,0.128694,1990.487
1,89.4796,0.7566,0.143700,540.573
1,84.5166,0.5754,0.571294,1308.701
0,37.4186,-25.3034,0.305305,932.387
1,68.1539,16.2902,0.629507,1560.083
1,87.9493,0.7949,0.107263,873.584
1,56.0730,3.9680,0.422349,1853.763
0,12.8359,10.6472,0.375595,628.511
1,25.0234,-15.0899,0.749914,1856.878
0,37.1388,-25.4865,0.357863,1004.867
0,4.5987,-27.7951,0.836461,1597.628
1,60.0659,1.1103,0.421972,1848.042
0,38.1548,-5.6792,0.894644,1325.491
1,27.9033,-24.7656,0.668785,660.682
1,69.6732,12.1609,0.219631,963.147
1,43.3038,-28.7046,0.724922,1031.806
1,80.4268,-20.6769,0.770685,921.312
0,52.3982,13.7803,0.690597,1972.930
1,60.9854,-14.6711,0.476900,574.706
1,84.4887,-8.7686,0.199587,561.582
1,28.4147,-5.6136,0.250741,522.200
0,34.3305,19.0270,0.527696,789.211
1,57.9069,17.6150,0.067435,762.678
1,22.6162,8.0797,0.613770,679.391
1,54.9361,-6.2014,0.686832,913.652
0,44.1251,-16.4531,0.169827,1566.229
0,7.9182,19.3202,0.683867,922.078
1,39.7829,24.2787,0.755885,514.139
1,70.6866,-17.8815,0.497789,1241.655
1,81.6271,-18.7172,0.301781,1727.305
0,21.0226,14.4052,0.079993,1552.260
1,88.7504,13.1764,0.974973,954.314
0,11.7524,8.8374,0.816877,1248.126
1,75.7066,-23.4170,0.786049,1603.535
0,32.1518,22.7266,0.604344,548.248
0,34.7386,23.9312,0.192396,535.226
0,25.3204,25.4400,0.351624,1008.555
0,33.9095,14.5206,0.982360,1636.392
0,67.8222,25.7803,0.453010,768.841
1,5.9576,-6.8941,0.999039,629.152
1,70.6555,-5.8802,0.566091,1976.647
1,33.1450,-21.8554,0.047828,603.235
1,98.8649,1.6327,0.951489,1110.834
1,19.3524,-12.2601,0.477840,522.379
1,1.5056,-22.3586,0.028455,775.648
1,39.1847,-4.4540,0.425117,593.391
1,96.2287,23.9889,0.106294,1292.399
1,85.1207,-8.5255,0.367193,933.158
0,20.3352,11.6510,0.913537,1371.785
0,15.1010,28.6909,0.045787,1403.350
1,76.3911,24.4355,0.984119,525.292
0,57.9198,-7.5874,0.382326,1743.321
1,90.5683,12.6376,0.985567,1243.575
0,8.8834,-4.7449,0.423223,827.187
0,83.5616,25.7083,0.189068,1793.807
1,32.0873,-17.1708,0.447265,1430.735
0,41.3665,-7.2012,0.822883,928.821
0,5.5029,24.9418,0.089433,572.155
1,47.7664,28.5350,0.538312,1445.531
1,49.2725,12.5169,0.417820,1050.608
0,73.0093,3.2975,0.827662,1814.669
1,83.5439,13.0914,0.121581,726.459
1,36.5379,25.5767,0.761836,1736.512
1,52.5703,23.2646,0.699686,1529.781
1,17.3138,-10.1109,0.375120,1412.338
1,86.0033,-6.5904,0.558714,1423.759
1,61.2257,17.7600,0.080192,719.072
0,85.8706,3.1391,0.946437,1017.674
1,33.6839,17.6469,0.938460,1833.221
1,55.1386,-17.1752,0.713971,1078.402
1,60.4982,-29.4642,0.731299,811.976
1,39.8608,-19.2097,0.219436,1442.484
1,44.5278,-20.4314,0.505742,1666.714
1,56.9379,20.7651,0.615788,1324.841
0,97.3385,26.4783,0.354570,1569.146
0,37.9023,-6.4185,0.486306,1045.557
0,64.6287,10.5713,0.173112,1842.266
0,60.3328,-26.1180,0.872209,1767.117
1,67.8867,-10.0271,0.318115,896.577
0,17.7362,-12.6977,0.160651,1012.673
0,70.5300,5.8775,0.164077,1999.333
0,66.3676,9.2616,0.018535,1078.600
0,0.5583,11.6120,0.855731,1897.377
0,76.9089,29.1819,0.610898,514.442
0,50.4679,28.4326,0.771044,1511.082
0,64.0503,7.3914,0.090185,776.428
0,9.0651,-16.0576,0.144524,1532.845
1,4.8328,0.7267,0.173557,720.851
1,94.8968,-27.2301,0.486475,1883.696
1,98.5334,-1.3710,0.386530,1744.910
1,19.0997,10.6485,0.151023,1097.117
1,73.1423,19.6149,0.490022,938.564
0,4.0486,3.8505,0.834250,1611.268
1,77.3209,2.9406,0.167168,1910.221
0,25.6977,18.7685,0.463665,1857.684
0,45.8513,-0.7559,0.848579,1705.699
0,16.3353,-15.8004,0.260245,1137.344
1,41.3177,-25.1189,0.746446,1277.151
1,22.1414,-28.6746,0.881181,560.190
1,38.4793,-17.2851,0.745630,636.252
1,43.6325,-11.4011,0.446383,1165.736
0,37.8189,-17.1714,0.245900,1105.012
0,24.4022,28.7001,0.686223,1355.797
1,80.3826,-11.7642,0.409354,930.431
1,69.1858,18.1538,0.649067,1520.200
0,23.4888,25.8976,0.423538,1761.656
1,24.6598,14.5063,0.757745,1560.129
1,85.3370,17.4166,0.816421,1883.726
1,19.9367,20.1271,0.343104,1709.227
1,24.3079,-9.8480,0.310650,644.558
0,8.0864,18.1537,0.458676,1508.573
1,63.3761,9.6549,0.766250,918.682
